genome	gene	protein
OceanDNA-b25323	PR	OceanDNA-b25323_00255_2
OceanDNA-b25324	PR	OceanDNA-b25324_00024_4
OceanDNA-b25475	PR	OceanDNA-b25475_00145_3
OceanDNA-b25513	PR	OceanDNA-b25513_00014_5
OceanDNA-b25514	PR	OceanDNA-b25514_00057_3
OceanDNA-b25515	PR	OceanDNA-b25515_00090_2
OceanDNA-b25527	PR	OceanDNA-b25527_00023_4
OceanDNA-b25530	PR	OceanDNA-b25530_00055_2
OceanDNA-b25531	PR	OceanDNA-b25531_00035_9
OceanDNA-b25526	PR	OceanDNA-b25526_00218_2
OceanDNA-b25526	TAT	OceanDNA-b25526_00092_3
OceanDNA-b25529	TAT	OceanDNA-b25529_00008_3
OceanDNA-b25530	TAT	OceanDNA-b25530_00046_7
OceanDNA-b25531	TAT	OceanDNA-b25531_00002_20
OceanDNA-b25533	TAT	OceanDNA-b25533_00042_5
OceanDNA-b25513	TAT	OceanDNA-b25513_00003_17
OceanDNA-b25508	TAT	OceanDNA-b25508_00154_3
OceanDNA-b25525	TAT	OceanDNA-b25525_00061_2
OceanDNA-b25534	TAT	OceanDNA-b25534_00005_2
OceanDNA-b25514	TAT	OceanDNA-b25514_00056_3
OceanDNA-b25520	TAT	OceanDNA-b25520_00020_9
OceanDNA-b25524	TAT	OceanDNA-b25524_00164_3
OceanDNA-b25523	TAT	OceanDNA-b25523_00074_3
OceanDNA-b25685	TAT	OceanDNA-b25685_00021_13
OceanDNA-b25522	TAT	OceanDNA-b25522_00159_2
OceanDNA-b25645	TAT	OceanDNA-b25645_00070_3
OceanDNA-b25660	TAT	OceanDNA-b25660_00033_3
OceanDNA-b25644	TAT	OceanDNA-b25644_00216_2
OceanDNA-b25647	TAT	OceanDNA-b25647_00005_3
OceanDNA-b25649	TAT	OceanDNA-b25649_00010_2
OceanDNA-b25650	TAT	OceanDNA-b25650_00016_8
OceanDNA-b25653	TAT	OceanDNA-b25653_00058_4
OceanDNA-b25654	TAT	OceanDNA-b25654_00186_2
OceanDNA-b25658	TAT	OceanDNA-b25658_00037_5
OceanDNA-b25662	TAT	OceanDNA-b25662_00282_3
OceanDNA-b25664	TAT	OceanDNA-b25664_00080_4
OceanDNA-b25674	TAT	OceanDNA-b25674_00032_4
OceanDNA-b25659	TAT	OceanDNA-b25659_00031_6
OceanDNA-b25667	TAT	OceanDNA-b25667_00042_4
OceanDNA-b25634	TAT	OceanDNA-b25634_00100_1
OceanDNA-b25652	TAT	OceanDNA-b25652_00061_3
OceanDNA-b25669	TAT	OceanDNA-b25669_00224_1
OceanDNA-b25670	TAT	OceanDNA-b25670_00157_3
OceanDNA-b25651	TAT	OceanDNA-b25651_00031_4
OceanDNA-b25676	TAT	OceanDNA-b25676_00075_4
OceanDNA-b25677	TAT	OceanDNA-b25677_00146_2
OceanDNA-b25671	TAT	OceanDNA-b25671_00056_3
OceanDNA-b25675	TAT	OceanDNA-b25675_00042_6
